"InventoryID","ISO6393","Glottocode","Source","phonemes","consonants","vowels","tones"
1,"kor","kore1280","spa",40,22,18,0
2,"ket","kett1243","spa",32,18,14,0
3,"lbe","lakk1252","spa",69,60,9,0
4,"kbd","kaba1278","spa",56,49,7,0
5,"kat","nucl1302","spa",35,29,6,0
6,"bsk","buru1296","spa",53,38,12,3
7,"kru","kuru1302","spa",68,46,22,0
8,"tel","telu1262","spa",68,47,21,0
9,"kfe","kota1263","spa",34,23,11,0
10,"unr","mund1320","spa",37,32,5,0
11,"khr","khar1287","spa",41,31,10,0
12,"kha","khas1269","spa",28,19,9,0
13,"sed","seda1262","spa",53,39,14,0
14,"khm","cent1989","spa",42,21,21,0
15,"vie","viet1252","spa",39,21,12,6
16,"cmn","mand1415","spa",43,27,12,4
17,"wuu","wuch1236","spa",41,29,9,3
18,"hak","hakk1236","spa",31,21,6,4
19,"yue","yuec1235","spa",32,22,5,5
20,"ium","iumi1238","spa",49,35,8,6
21,"njz","nyis1236","spa",27,16,9,2
22,"mya","nucl1310","spa",50,34,13,3
23,"lhu","lahu1253","spa",40,26,9,5
24,"grt","garo1247","spa",26,21,5,0
25,"ksw","sgaw1245","spa",39,27,9,3
26,"lbc","lakk1238","spa",59,31,22,6
27,"tha","thai1261","spa",45,21,18,6
28,"pcc","bouy1240","spa",38,24,8,6
29,"cja","west2650","spa",35,24,9,2
30,"tay","atay1247","spa",27,19,8,0
31,"plt","plat1254","spa",36,31,5,0
32,"zsm","stan1306","spa",27,21,6,0
33,"bbc","bata1289","spa",21,16,5,0
34,"snv","saba1265","spa",46,38,8,0
35,"sun","sund1252","spa",26,19,7,0
36,"jav","java1254","spa",30,22,8,0
37,"tgl","taga1270","spa",28,18,10,0
38,"cha","cham1312","spa",36,30,6,0
39,"iai","iaai1238","spa",52,33,19,0
40,"khl","kali1299","spa",28,18,10,0
41,"adz","adze1240","spa",25,18,7,0
42,"mri","maor1246","spa",20,10,10,0
43,"haw","hawa1245","spa",19,9,10,0
44,"ant","anta1253","spa",23,17,6,0
45,"nna","nyan1301","spa",27,20,7,0
46,"kjn","kunj1245","spa",28,23,5,0
47,"zmr","mara1386","spa",24,19,5,0
48,"mph","maun1240","spa",24,19,5,0
49,"nuy","nung1290","spa",24,19,5,0
50,"alh","alaw1244","spa",28,23,5,0
51,"wim","wikm1247","spa",23,13,10,0
52,"set","nucl1632","spa",17,10,7,0
53,"kmo","kwom1262","spa",31,24,7,0
54,"tml","tamn1235","spa",19,14,5,0
55,"tlf","tele1256","spa",27,17,8,2
56,"gaj","gads1258","spa",19,9,6,4
57,"auy","awiy1238","spa",20,11,6,3
58,"kup","kuni1267","spa",20,15,5,0
59,"spl","sele1250","spa",21,15,6,0
60,"nas","naas1242","spa",18,8,10,0
61,"ale","aleu1260","spa",36,30,6,0
62,"kal","kala1399","spa",38,32,6,0
63,"chp","chip1261","spa",61,39,18,4
64,"tol","tolo1259","spa",44,29,15,0
65,"hup","hupa1239","spa",42,35,7,0
66,"nav","nava1243","spa",54,36,16,2
67,"hdn","nort2938","spa",50,47,3,0
68,"squ","squa1248","spa",37,30,7,0
69,"str","stra1244","spa",43,36,7,0
70,"nuk","nuuc1236","spa",47,37,10,0
71,"kwk","kwak1269","spa",55,46,9,0
72,"ojg","east2542","spa",27,16,11,0
73,"unm","unam1242","spa",39,22,17,0
74,"wic","wich1260","spa",29,21,8,0
75,"lkt","lako1247","spa",36,27,9,0
76,"see","sene1264","spa",27,11,16,0
77,"one","onei1249","spa",22,10,12,0
78,"yuc","yuch1247","spa",64,38,26,0
79,"akz","alab1237","spa",21,15,6,0
80,"tun","tuni1252","spa",25,18,7,0
81,"nez","nezp1238","spa",36,26,10,0
82,"nmu","nort2952","spa",24,18,6,0
83,"zoc","copa1236","spa",32,26,6,0
84,"top","papa1238","spa",26,20,6,0
85,"chf","taba1266","spa",37,25,12,0
86,"tzh","tzel1254","spa",30,25,5,0
87,"tsz","pure1242","spa",32,26,6,0
88,"kyh","karo1304","spa",41,27,11,3
89,"pom","sout2982","spa",38,27,11,0
90,"dih","kumi1248","spa",34,25,9,0
91,"zun","zuni1245","spa",54,44,10,0
92,"tix","sout2961","spa",41,26,12,3
93,"tew","tewa1260","spa",57,34,19,4
94,"lui","luis1253","spa",34,23,11,0
95,"hop","hopi1249","spa",49,31,18,0
96,"ood","toho1245","spa",29,19,10,0
97,"ote","mezq1235","spa",58,42,13,3
98,"maz","cent2144","spa",63,45,15,3
99,"maq","chiq1250","spa",38,26,8,4
100,"mig","sanm1295","spa",32,19,10,3
101,"cbi","chac1249","spa",28,24,4,0
102,"pbb","paez1247","spa",39,29,10,0
103,"ito","iton1250","spa",25,19,6,0
104,"quh","sout2991","spa",37,32,5,0
105,"jqr","jaqa1244","spa",42,36,6,0
106,"arn","mapu1245","spa",26,20,6,0
107,"crb","isla1278","spa",29,17,12,0
108,"wap","wapi1253","spa",29,17,12,0
109,"guc","wayu1243","spa",46,28,18,0
110,"cni","asha1243","spa",21,17,4,0
111,"ign","igna1246","spa",25,21,4,0
112,"ame","yane1238","spa",29,23,6,0
113,"jiv","shua1257","spa",24,16,8,0
114,"bao","waim1255","spa",25,11,12,2
115,"tca","ticu1245","spa",38,18,11,9
116,"car","gali1262","spa",28,16,12,0
117,"oca","ocai1244","spa",38,27,9,2
118,"srq","siri1273","spa",28,18,10,0
119,"gug","para1311","spa",36,24,12,0
120,"amc","amah1246","spa",22,14,8,0
121,"cao","chac1251","spa",21,17,4,0
122,"apn","apin1244","spa",49,14,35,0
123,"rif","tari1263","spa",49,45,4,0
124,"hau","haus1257","spa",45,32,10,3
125,"anc","ngas1240","spa",44,30,11,3
126,"mrt","marg1265","spa",44,36,6,2
127,"som","soma1255","spa",52,30,20,2
128,"awn","awng1244","spa",39,28,7,4
129,"irk","iraq1241","spa",48,33,12,3
130,"tig","tigr1270","spa",54,47,7,0
131,"amh","amha1245","spa",59,52,7,0
132,"arz","egyp1253","spa",67,58,9,0
133,"ary","moro1292","spa",78,74,4,0
134,"mlt","malt1254","spa",55,45,10,0
135,"heb","hebr1245","spa",30,24,6,0
136,"xtc","katc1250","spa",32,23,7,2
137,"xpe","libe1247","spa",49,32,14,3
