"ID","Name","Description","SegmentClass","tone","stress","syllabic","short","long","consonantal","sonorant","continuant","delayedRelease","approximant","tap","trill","nasal","lateral","labial","round","labiodental","coronal","anterior","distributed","strident","dorsal","high","low","front","back","tense","retractedTongueRoot","advancedTongueRoot","periodicGlottalSource","epilaryngealSource","spreadGlottis","constrictedGlottis","fortis","raisedLarynxEjective","loweredLarynxImplosive","click"
"2486343a3dfa978bbeccf399eae1f548","pʰ","LATIN SMALL LETTER P - MODIFIER LETTER SMALL H","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","0","0","-","-","+","-","-","-","-","-"
"65a35801c201d9caa5629f56a3934836","pˀ","LATIN SMALL LETTER P - MODIFIER LETTER GLOTTAL STOP","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","0","0","-","-","-","+","-","-","-","-"
"275d37cf1347421530b263c0075624d0","s","LATIN SMALL LETTER S","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","+","-","+","-","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"38b221df8eaf5aea9d7f0e5de2df1089","sˀ","LATIN SMALL LETTER S - MODIFIER LETTER GLOTTAL STOP","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","+","-","+","-","0","0","0","0","0","0","0","-","-","-","+","-","-","-","-"
"779e8f63e7a0ffc567df3cf4ca96a4d8","t","LATIN SMALL LETTER T","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"4be146d81ab465fa78044055a2935ff9","tʰ","LATIN SMALL LETTER T - MODIFIER LETTER SMALL H","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","-","-","+","-","-","-","-","-"
"ac733a4bcfbbaa994168e7bba4c5a18d","t̠ʃ","LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH","consonant","0074+0283","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","0","0","-","-","-","-","-","-","-"
"633765fb49b83ae704460bd78ce3ad89","t̠ʃʰ","LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL H","consonant","0074+0283","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","0","-","-","+","-","-","-","-","-"
"89719551c54f7b4aa3cdb8de35cc0de9","t̠ʃˀ","LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER GLOTTAL STOP","consonant","0074+0283","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","0","0","-","-","+","-","-","-","-"
"f3e260f870467551e17b84c2393bd8f5","tˀ","LATIN SMALL LETTER T - MODIFIER LETTER GLOTTAL STOP","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","-","-","-","+","-","-","-","-"
"0db4e997afeafb689454d224b1e0c1dc","u","LATIN SMALL LETTER U","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","+","-","-","+","+","-","-","+","-","-","-","0","-","-","0"
"4ee0a7408866fe622178103d0ac52fd7","uː","LATIN SMALL LETTER U - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","+","-","-","+","+","-","-","+","-","-","-","0","-","-","0"
"ed28bd701c57bd69d34cdb37049e8e0b","ɯ","LATIN SMALL LETTER TURNED M","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","+","+","-","-","+","-","-","-","0","-","-","0"
"66b031d35867da5956d9c74e537f5e9a","ɯː","LATIN SMALL LETTER TURNED M - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","+","+","-","-","+","-","-","-","0","-","-","0"
"23b2f5152903b6ba0a61bc33318c84ef","w","LATIN SMALL LETTER W","consonant","0","-","-","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","+","-","-","+","+","0","0","+","-","-","-","-","-","-","-"
"ac5c38c67e8a337bdfc265d3b2c3f9c6","y","LATIN SMALL LETTER Y","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","+","-","+","-","+","-","-","+","-","-","-","0","-","-","0"
"a3fb21f3d79b7e434ddc723362606845","ʔ","LATIN LETTER GLOTTAL STOP","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","-","0","0","0","0","0","0","0","-","-","-","+","-","-","-","-"
"8770303d4bd7266a5ba2707cc1fd08b4","b","LATIN SMALL LETTER B","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","0","0","+","-","-","-","-","-","-","-"
"c153f96ff5bdb3cae51e57d1f7a00299","d","LATIN SMALL LETTER D","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","+","-","-","-","-","-","-","-"
"73a230e6a95ac82745d519afd9c30db4","dʲ","LATIN SMALL LETTER D - MODIFIER LETTER SMALL J","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","+","+","-","+","-","0","0","0","+","-","-","-","-","-","-","-"
"2a96dc40fd13b642012bb188c4043894","ɨ","LATIN SMALL LETTER I WITH STROKE","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","+","-","-","+","-","-","-","0","-","-","0"
"d3a0f89aeedd84eebdbea8e40ca72acc","ɨː","LATIN SMALL LETTER I WITH STROKE - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","+","-","-","+","-","-","-","0","-","-","0"
"d40b201c7d25f785b06b4a81dd74a0e8","ʝ","LATIN SMALL LETTER J WITH CROSSED-TAIL","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","-","+","-","+","+","-","+","-","0","0","0","+","-","-","-","-","-","-","-"
"de308590718d1842d97bca4d871ac25c","k̟","LATIN SMALL LETTER K - COMBINING PLUS SIGN BELOW","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","+","-","0","0","0","-","-","-","-","-","-","-","-"
"56237c34b101cebc80535214cc54e641","lˠ","LATIN SMALL LETTER L - MODIFIER LETTER SMALL GAMMA","consonant","0","-","-","-","-","+","+","+","0","+","-","-","-","+","-","0","0","+","+","-","-","+","+","-","-","-","0","0","0","+","-","-","-","-","-","-","-"
"ed4c9626f29f79d85ea99aead8e21a21","lʲ","LATIN SMALL LETTER L - MODIFIER LETTER SMALL J","consonant","0","-","-","-","-","+","+","+","0","+","-","-","-","+","-","0","0","+","+","-","-","+","+","-","+","-","0","0","0","+","-","-","-","-","-","-","-"
"d7219e6a5975b7e204b34d31e3adee0c","nʲ","LATIN SMALL LETTER N - MODIFIER LETTER SMALL J","consonant","0","-","-","-","-","+","+","-","0","-","-","-","+","-","-","0","0","+","+","-","-","+","+","-","+","-","0","0","0","+","-","-","-","-","-","-","-"
"ba62c3a6b4e03cd7ba04e153eab804e9","ɔ","LATIN SMALL LETTER OPEN O","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","+","-","-","-","+","-","-","-","0","-","-","0"
"603c068b49e8dbdad2149e2320039b8c","ɔː","LATIN SMALL LETTER OPEN O - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","+","-","-","-","+","-","-","-","0","-","-","0"
"17854134efc636d17103bdf7bed0209b","ɵ̞","LATIN SMALL LETTER BARRED O - COMBINING DOWN TACK BELOW","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","-","0","-","-","+","-","-","-","0","-","-","0"
"6ba885c6fd0f59ede0a78d78cac7e7a0","ɵ̞ː","LATIN SMALL LETTER BARRED O - COMBINING DOWN TACK BELOW - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","-","0","-","-","+","-","-","-","0","-","-","0"
"fdadb3d9becc15a54aa5bd6e7d5d96f2","q","LATIN SMALL LETTER Q","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","-","-","-","+","0","0","0","-","-","-","-","-","-","-","-"
"1444b92930cd4f5229e2c487008457e5","sʲ","LATIN SMALL LETTER S - MODIFIER LETTER SMALL J","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","+","-","+","+","+","-","+","-","0","0","0","-","-","-","-","-","-","-","-"
"f8263eb1ea35dd6b1689d7e87205bf61","tʲ","LATIN SMALL LETTER T - MODIFIER LETTER SMALL J","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","+","+","-","+","-","0","0","0","-","-","-","-","-","-","-","-"
"de6f9de08314892f34c494994f737542","ʊ","LATIN SMALL LETTER UPSILON","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","+","-","-","+","-","-","-","+","-","-","-","0","-","-","0"
"34ded88c9066e2b80df1a43f13b93df6","æˤ","LATIN SMALL LETTER AE - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","+","+","-","0","+","-","+","-","-","-","0","-","-","0"
"42987a76052bd78f7b7405fe1855ad95","e̞ˤ","LATIN SMALL LETTER E - COMBINING DOWN TACK BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","-","+","-","0","+","-","+","-","-","-","0","-","-","0"
"41051c493c4b0f276cdcc2319fe98ae9","ɡ","LATIN SMALL LETTER SCRIPT G","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","0","0","0","+","-","-","-","-","-","-","-"
"0de2ccb58777f541ed638b25f19a93bc","ɢ","LATIN LETTER SMALL CAPITAL G","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","-","-","-","+","0","0","0","+","-","-","-","-","-","-","-"
"6a490188e9bca29e0311e7e14796d2c8","ɢʷ","LATIN LETTER SMALL CAPITAL G - MODIFIER LETTER SMALL W","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","+","0","0","0","+","-","-","-","-","-","-","-"
"eb86e6071253b48999925cfca9689193","ħ","LATIN SMALL LETTER H WITH STROKE","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","-","0","0","0","+","-","+","-","+","0","0","0","-","-","-","-","-","-","-","-"
"d51dd71ae3a1617ce0b7ee7fdb9455bc","k͈","LATIN SMALL LETTER K - COMBINING DOUBLE VERTICAL LINE BELOW","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","0","0","0","-","-","-","-","+","-","-","-"
"ad9c7f9e7456eee1a504f6d363478b15","kʰʷ","LATIN SMALL LETTER K - MODIFIER LETTER SMALL H - MODIFIER LETTER SMALL W","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","+","-","-","0","0","0","+","+","-","-","-","0","0","0","-","-","+","-","-","-","-","-"
"dd0d9dd86a0f604c7bd38fbfd64e7a60","k͈ʷ","LATIN SMALL LETTER K - COMBINING DOUBLE VERTICAL LINE BELOW - MODIFIER LETTER SMALL W","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","+","-","-","0","0","0","+","+","-","-","-","0","0","0","-","-","-","-","+","-","-","-"
"546b69d4be9c0aac12076a13f08946c8","kʷʼ","LATIN SMALL LETTER K - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","+","-","-","0","0","0","+","+","-","-","-","0","0","0","-","-","-","+","-","+","-","-"
"cabe747c0de99b81455043bd0f0ee29b","kʼ","LATIN SMALL LETTER K - MODIFIER LETTER APOSTROPHE","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","0","0","0","-","-","-","+","-","+","-","-"
"7aa2664b8cba0fea3fdaccb024e5f559","ø̞ˤ","LATIN SMALL LETTER O WITH STROKE - COMBINING DOWN TACK BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","-","-","+","-","0","+","-","+","-","-","-","0","-","-","0"
"02fae886158d8d0f9e79f33d64cf2e94","p͈","LATIN SMALL LETTER P - COMBINING DOUBLE VERTICAL LINE BELOW","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","0","0","-","-","-","-","+","-","-","-"
"8f3212f02a75eb281b281a419c9a7ebc","pʼ","LATIN SMALL LETTER P - MODIFIER LETTER APOSTROPHE","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","0","0","-","-","-","+","-","+","-","-"
"2c15a55e34de88f35e0d0c00ac92439b","q͈","LATIN SMALL LETTER Q - COMBINING DOUBLE VERTICAL LINE BELOW","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","-","-","-","+","0","0","0","-","-","-","-","+","-","-","-"
"e2df5d30b5eb463cd8e76cdb99ced8c2","qʰ","LATIN SMALL LETTER Q - MODIFIER LETTER SMALL H","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","-","-","-","+","0","0","0","-","-","+","-","-","-","-","-"
"17f754aa3dc3a6ff2adcc1e79c6191f5","qʰʷ","LATIN SMALL LETTER Q - MODIFIER LETTER SMALL H - MODIFIER LETTER SMALL W","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","+","0","0","0","-","-","+","-","-","-","-","-"
"5c6bbb3cc0090c67fdf6c132c39d1d66","q͈ʷ","LATIN SMALL LETTER Q - COMBINING DOUBLE VERTICAL LINE BELOW - MODIFIER LETTER SMALL W","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","+","0","0","0","-","-","-","-","+","-","-","-"
"b21c84ca1ee8dd69790e246196fe5604","qʷʼ","LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","+","0","0","0","-","-","-","+","-","+","-","-"
"98ec037922b1a503ae8473b27afb4ab8","qʼ","LATIN SMALL LETTER Q - MODIFIER LETTER APOSTROPHE","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","-","-","-","+","0","0","0","-","-","-","+","-","+","-","-"
