InventoryID,FileNames,BibtexKey,LanguageName,SpecificDialect,Glottocode,LanguageCode,URI,Source,NewGlottologcode,LanguageLevelGlottocode
3083,MacKenzie1961Surchi,,Northern Kurdish,Sūrči Sorani,surc1239,kmr,,hupc,,nort2641
3084,Doerfer1971Khalaj,,Turkic Khalaj,Khalaj,turk1303,klj,,hupc,,turk1303
3085,Hoey2013Turkmen,,Turkmen,Turkmen,turk1304,tuk,,hupc,,turk1304
3086,Jastrow2011Turoyo,,Turoyo,Turoyo,turo1239,tru,,hupc,,turo1239
3087,Hobrack2000Umra,,Hertevin Neo-Aramaic,Umra Christian NENA,umra1238,hrt,,hupc,,hert1241
3088,Khan2008Barwar,,Assyrian Neo-Aramaic,Barwar,uppe1449,aii,,hupc,,assy1241
3089,Hetzron1969Urmi,,Assyrian Neo-Aramaic,Urmi,urmi1250,aii,,hupc,,assy1241
3090,MacKenzie1961Warmawa,,Central Kurdish,Wārmāwa Sorani Kurdish,warm1239,ckb,,hupc,,cent1972
3091,paul2018persian,,Western Farsi,Standard Persian,west2369,pes,,hupc,,west2369
3092,MacKenzie1961Zakho,,Northern Kurdish,Zakho Kurdish,zakh1242,kmr,,hupc,,nort2641
3093,Arnold2011BedouinAntiochia,,Arabic,Bedouin dialects of Antiochia Arabic,cent2323,ars,,hupc,,
3094,Schönig2015Azerbaijanian,,Turkic,Azerbajanian (Azerbiajani),mode1262,NA,,hupc,,
3095,andersen1999witaea.pdf,andersen1999witaea,Moronene,Wita Ea,wita1237,mqn,,,,
3096,foley1991yimas.pdf,foley1991yimas,Yimas,,yima1243,yee,,,,
3097,nekitel1985abu.pdf,nekitel1985abu,Abu' Arapesh,,abua1245,aah,,,,
3098,quakenbushetal2010agutaynen.pdf,quakenbushetal2010agutaynen,Agutaynen,,agut1237,agn,,,,
3099,whitney1991akoye.pdf,whitney1991akoye,Akoye,,akoy1238,miw,,,,
3100,klamer2011alorese.pdf,klamer2011alorese,Alorese,,alor1247,aol,,,,
3101,edwards2016amarasi.pdf,edwards2016amarasi,Amarasi,Kotos,amar1273,aaz,,,,
3102,thurston1976anem.pdf,thurston1976anem,Anem,Coastal,anem1249,anz,,,,
3103,schneider2010abma.pdf,schneider2010abma,Apma,Suru-Marani,apma1240,app,,,,
3104,mckenzie1991aralletabulahan.pdf,mckenzie1991aralletabulahan,Aralle-Tabulahan,Tabulahn,aral1243,atq,,,,
3105,hull2001baikeno.pdf,hull2001baikeno,Baikeno,,baik1238,bkx,,,,
3106,vandenberg2012balantak.pdf,vandenberg2012balantak,Balantak,Batubiring,bala1315,blz,,,,
3107,schokkin2014paluai.pdf,schokkin2014paluai,Paluai,Baluan,balu1257,blq,,,,
3108,sudarsono2002riukbekati.pdf,sudarsono2002riukbekati,Riuk Bekati',,beka1241,bei,,,,
3109,steinhauer2014blagar.pdf,steinhauer2014blagar,Blagar,Apuri,blag1240,beu,,,,
3110,mead2001bobongko.pdf,mead2001bobongko,Bobongko,,bobo1255,bgb,,,,
3111,yamashita1992botolansambal.pdf,yamashita1992botolansambal,Botolan Sambal,Kakilingan,boto1242,sbl,,,,
3112,maan1951buli.pdf,maan1951buli,Buli,,buli1255,bzq,,,,
3113,schapper2009bunak.pdf,schapper2009bunak,Bunak,Lamaknen,buna1278,bfn,,,,
3114,grimes1991buru.pdf,grimes1991buru,Buru,,buru1303,mhs,,,,
3115,price2007bundudusun.pdf,price2007bundudusun,Central Dusun,Bundu,cent2100,dtp,,,,
3116,blust1988melanau.pdf,blust1988melanau,Central Melanau,Mukah,cent2101,mel,,,,
3117,white1988cheke.pdf,white1988cheke,Cheke Holo,Maringe,chek1238,mrn,,,,
3118,vandenberg1991ciacia.pdf,vandenberg1991ciacia,Cia-Cia,,ciac1237,cia,,,,
3119,barr1988daakaili.pdf,barr1988daakaili,Da'a Kaili,Da'a,daak1235,kzf,,,,
3120,tryon1968dehu.pdf,tryon1968dehu,Dehu,,dehu1237,dhv,,,,
3121,tida2006dom.pdf,tida2006dom,Dom,Non Ku,domm1246,doa,,,,
3122,shintani1990dumbea.pdf,shintani1990dumbea,Dumbea,Paita,dumb1241,duf,,,,
3123,mcdonnell2009ende.pdf,mcdonnell2009ende,Ende,Ja'o,ende1246,end,,,,
3124,rule1993foi.pdf,rule1993foi,Foi,,foii1241,foi,,,,
3125,marshall2000fordata.pdf,marshall2000fordata,Fordata,Romean,ford1242,frd,,,,
3126,calimag1967gaddang.pdf,calimag1967gaddang,Gaddang,,gadd1244,gad,,,,
3127,penn2006galoli.pdf,penn2006galoli,Galoli,Dadua,galo1243,gal,,,,
3128,steinhauer1996metathesis.pdf,steinhauer1996metathesis,Helong,Helong Darat,helo1243,heg,,,,
3129,franccois2010hiw.pdf,franccois2010hiw,Hiw,,hiww1237,hiw,,,,
3130,vandenheuvel1997inonhan.pdf,vandenheuvel1997inonhan,Inonhan,,inon1237,loc,,,,
3131,yanti2010jambimalay.pdf,yanti2010jambimalay,Jambi Malay,Tanjung Raden,jamb1236,jax,,,,
3132,wendell1978kagankalagan.pdf,wendell1978kagankalagan,Kagan Kalagan,,kaga1255,kll,,,,
3133,harmon1977kagayanen.pdf,harmon1977kagayanen,Kagayanen,,kaga1256,cgc,,,,
3134,tsuchida1975tsouic.pdf,tsuchida1975tsouic,Kanakanavu,,kana1286,xnb,,,,
3135,sumbuk1999kapriman.pdf,sumbuk1999kapriman,Kapriman,,kapr1245,dju,,,,
3136,connell2013mateq.pdf,connell2013mateq,Mateq,,kemb1249,xem,,,,
3137,mckinnon2011kerinci.pdf,mckinnon2011kerinci,Kerinci,Tanjung Pauh Mudik,keri1250,kvr,,,,
3138,fernandez1989komodo.pdf,fernandez1989komodo,Komodo,,komo1261,kvh,,,,
3139,sato2013kove.pdf,sato2013kove,Kove,Central Kove,kove1237,kvc,,,,
3140,laidig1999barang.pdf,laidig1999barang,Laiyolo,Barang-Barang,laiy1246,lji,,,,
3141,"ross2002lala.pdf, symonds1989lala.pdf","ross2002lala, symonds1989lala",Lala,,lala1268,nrz,,,,
3142,kroon2016lamaholot.pdf,kroon2016lamaholot,Lamaholot,Ritaebang,lama1277,slp,,,,
3143,matanggui1984lampungnyo.pdf,matanggui1984lampungnyo,Lampung Nyo,,lamp1242,abl,,,,
3144,walker1976lampungapi.pdf,walker1976lampungapi,Lampung Api,,lamp1243,ljp,,,,
3145,laidig1995larike.pdf,laidig1995larike,Larike-Wakasihu,Larike,lari1255,alo,,,,
3146,nagaya2012lamaholot.pdf,nagaya2012lamaholot,Lewotobi,,lewo1244,lwt,,,,
3147,blust2016kelabit.pdf,blust2016kelabit,Lun Dayeh,Lun Bawang,lund1271,lnd,,,,
3148,matti1991mamasa.pdf,matti1991mamasa,Mamasa,Northern Mamasa,mama1276,mqj,,,,
3149,svelmoe1974mansaka.pdf,svelmoe1974mansaka,Mansaka,,mans1262,msk,,,,
3150,wang2006matigsalug.pdf,wang2006matigsalug,Matigsalug Manobo,,mati1250,mbt,,,,
3151,vanderleeden1987misoolsalawatimaya.pdf,vanderleeden1987misoolsalawatimaya,Misool-Salawati Ma'ya,,maya1282,slz,,,,
3152,vandermark2007minigir.pdf,vandermark2007minigir,Minigir,Luvuani,mini1251,vmg,,,,
3153,thiessen1980molbog.pdf,thiessen1980molbog,Molbog,,molb1237,pwm,,,,
3154,odango2015mortlockese.pdf,odango2015mortlockese,Mortlockese,Pakin (southern dialect),mort1237,mrl,,,,
3155,volker1994nalik.pdf,volker1994nalik,Nalik,,nali1244,nal,,,,
3156,vaa2013engdewu.pdf,vaa2013engdewu,Nanggu,,nang1262,ngr,,,,
3157,hanna1991napu.pdf,hanna1991napu,Napu,,napu1241,npy,,,,
3158,veloso2016nauete.pdf,veloso2016nauete,Nauete,Uatocarbau-Baguia (eastern dialect),naue1237,nxa,,,,
3159,tryon1967nengone.pdf,tryon1967nengone,Nengone,,neng1238,nen,,,,
3160,takau2016nese.pdf,takau2016nese,Nese,,nese1235,NA,,,,
3161,peckham1991mairasi.pdf,peckham1991mairasi,Mairasi,,nucl1594,zrs,,,,
3162,wimbish1992pagu.pdf,wimbish1992pagu,Pagu,,pagu1249,pgu,,,,
3163,kluge2017papuanmalay.pdf,kluge2017papuanmalay,Papuan Malay,,papu1250,pmy,,,,
3164,tadmor1995pattanimalay.pdf,tadmor1995pattanimalay,Pattani Malay,,patt1249,mfa,,,,
3165,quick2008pendau.pdf,quick2008pendau,Pendau,,pend1242,ums,,,,
3166,naess2011vaeakau.pdf,naess2011vaeakau,Vaeakau-Taumako,Vaeakau (Pileni),pile1238,piv,,,,
3167,salisbury2002pukapuka.pdf,salisbury2002pukapuka,Pukapuka,,puka1242,pkp,,,,
3168,himmelmann1999ratahan.pdf,himmelmann1999ratahan,Ratahan,,rata1244,rth,,,,
3169,pan2012saaroa.pdf,pan2012saaroa,Saaroa,,saar1237,sxr,,,,
3170,visser1987sahu.pdf,visser1987sahu,Sahu,Pa'disua,sahu1245,saj,,,,
3171,"hunkin2009samoan.pdf, mosel1992samoan.pdf","hunkin2009samoan, mosel1992samoan",Samoan,,samo1305,smo,,,,
3172,kratochvil2014sawila.pdf,kratochvil2014sawila,Sawila,Lalamana (northern dialect),sawi1256,swt,,,,
3173,onishi1994motuna.pdf,onishi1994motuna,Motuna (Siwai),Central Siwai,siwa1245,siw,,,,
3174,steinhauer2009babar.pdf,steinhauer2009babar,Southeast Babar,Letwurung,sout2883,vbb,,,,
3175,hayami1995sumbawa.pdf,hayami1995sumbawa,Sumbawa,Taliwang,sumb1241,smw,,,,
3176,hussey1965tagbanwa.pdf,hussey1965tagbanwa,Tagbanwa,,tagb1258,tbw,,,,
3177,mayani2013tajio.pdf,mayani2013tajio,Tajio,,taji1246,tdj,,,,
3178,mosel2007teop.pdf,mosel2007teop,Teop,Coastal,teop1238,tio,,,,
