InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Phoneme,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids,glottocode,isocodes,macroarea
18,hakk1236,hak,Hakka,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,sino1245,midd1354,Hakka Chinese,False,language,safe,25,116,hak,NA,NA,0,0,20,CN TW,hakk1236,hak,Eurasia
19,yuec1235,yue,Cantonese,NA,006A,j,j e̯ ɪ̯,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,sino1245,yuep1234,Yue Chinese,False,language,safe,23,113,yue,NA,NA,0,0,22,CN VN,yuec1235,yue,Eurasia
20,iumi1238,ium,Yao,NA,0063,c,c,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,hmon1336,mien1243,Iu Mien,False,language,safe,20.83,101.17,ium,NA,NA,0,0,8,CN LA MM TH VN,iumi1238,ium,Eurasia
20,iumi1238,ium,Yao,NA,0063+02B0,cʰ,cʰ,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-,hmon1336,mien1243,Iu Mien,False,language,safe,20.83,101.17,ium,NA,NA,0,0,8,CN LA MM TH VN,iumi1238,ium,Eurasia
20,iumi1238,ium,Yao,NA,006A,j,j e̯,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,hmon1336,mien1243,Iu Mien,False,language,safe,20.83,101.17,ium,NA,NA,0,0,8,CN LA MM TH VN,iumi1238,ium,Eurasia
20,iumi1238,ium,Yao,NA,006A+0325,j̥,j̥,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,-,-,-,-,-,-,-,-,hmon1336,mien1243,Iu Mien,False,language,safe,20.83,101.17,ium,NA,NA,0,0,8,CN LA MM TH VN,iumi1238,ium,Eurasia
20,iumi1238,ium,Yao,NA,025F,ɟ,ɲɟ ɟ,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,hmon1336,mien1243,Iu Mien,False,language,safe,20.83,101.17,ium,NA,NA,0,0,8,CN LA MM TH VN,iumi1238,ium,Eurasia
20,iumi1238,ium,Yao,NA,0272,ɲ,ˀɲ ɲ,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,hmon1336,mien1243,Iu Mien,False,language,safe,20.83,101.17,ium,NA,NA,0,0,8,CN LA MM TH VN,iumi1238,ium,Eurasia
20,iumi1238,ium,Yao,NA,0272+0325,ɲ̥,ɲ̥,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,hmon1336,mien1243,Iu Mien,False,language,safe,20.83,101.17,ium,NA,NA,0,0,8,CN LA MM TH VN,iumi1238,ium,Eurasia
21,nyis1236,njz,Dafla,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,sino1245,suba1255,Nyishi-Hill Miri,False,language,definitely endangered,27.278263,93.675529,njz,NA,NA,0,0,3,IN,nyis1236,njz,Eurasia
22,nucl1310,mya,Burmese,NA,006A,j,ç j̃ j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,sino1245,oldm1246,Burmese,False,language,definitely endangered,20.7926,93.9665,mya,NA,NA,0,0,3,BD MM TH,nucl1310,mya,Eurasia
22,nucl1310,mya,Burmese,NA,0272,ɲ,ɲ,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,sino1245,oldm1246,Burmese,False,language,definitely endangered,20.7926,93.9665,mya,NA,NA,0,0,3,BD MM TH,nucl1310,mya,Eurasia
22,nucl1310,mya,Burmese,NA,0272+0325,ɲ̥,ɲ̥,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,sino1245,oldm1246,Burmese,False,language,definitely endangered,20.7926,93.9665,mya,NA,NA,0,0,3,BD MM TH,nucl1310,mya,Eurasia
23,lahu1253,lhu,Lahu,NA,006A,j,ʝ z j e̯,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,sino1245,laho1234,Lahu,False,language,safe,21.2701,100.214,lhu,NA,NA,0,0,4,CN LA MM TH VN,lahu1253,lhu,Eurasia
25,sgaw1245,ksw,Karen,NA,0063,c,c,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,sino1245,sgaw1244,S'gaw Karen,False,language,safe,17.9872,97.7126,ksw,NA,NA,0,0,2,MM TH,sgaw1245,ksw,Eurasia
25,sgaw1245,ksw,Karen,NA,0063+02B0,cʰ,cʰ,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-,sino1245,sgaw1244,S'gaw Karen,False,language,safe,17.9872,97.7126,ksw,NA,NA,0,0,2,MM TH,sgaw1245,ksw,Eurasia
25,sgaw1245,ksw,Karen,NA,006A,j,ʒ j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,sino1245,sgaw1244,S'gaw Karen,False,language,safe,17.9872,97.7126,ksw,NA,NA,0,0,2,MM TH,sgaw1245,ksw,Eurasia
25,sgaw1245,ksw,Karen,NA,0272,ɲ,ɲ,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,sino1245,sgaw1244,S'gaw Karen,False,language,safe,17.9872,97.7126,ksw,NA,NA,0,0,2,MM TH,sgaw1245,ksw,Eurasia
26,lakk1238,lbc,Lakkia,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,taik1256,lakk1237,Lakkia,False,language,definitely endangered,24.1169,110.106,lbc,NA,NA,0,0,0,CN,lakk1238,lbc,Eurasia
26,lakk1238,lbc,Lakkia,NA,006A+0325,j̥,j̥,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,-,-,-,-,-,-,-,-,taik1256,lakk1237,Lakkia,False,language,definitely endangered,24.1169,110.106,lbc,NA,NA,0,0,0,CN,lakk1238,lbc,Eurasia
27,thai1261,tha,Thai,NA,0063+00E7,cç,cç,NA,consonant,spa,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,taik1256,laot1235,Thai,False,language,safe,14.192,100.671,tha,NA,NA,0,0,1,KH MM TH,thai1261,tha,Eurasia
27,thai1261,tha,Thai,NA,0063+00E7+02B0,cçʰ,cçʰ ʃ,NA,consonant,spa,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-,taik1256,laot1235,Thai,False,language,safe,14.192,100.671,tha,NA,NA,0,0,1,KH MM TH,thai1261,tha,Eurasia
27,thai1261,tha,Thai,NA,006A,j,j̥ ɟʝ j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,taik1256,laot1235,Thai,False,language,safe,14.192,100.671,tha,NA,NA,0,0,1,KH MM TH,thai1261,tha,Eurasia
28,bouy1240,pcc,Yay,NA,0063,c,c,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,taik1256,nort3189,Bouyei,False,language,safe,24.8484,106.187,pcc,NA,NA,0,0,3,CN VN,bouy1240,pcc,Eurasia
28,bouy1240,pcc,Yay,NA,0063+02B0,cʰ,cʰ,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-,taik1256,nort3189,Bouyei,False,language,safe,24.8484,106.187,pcc,NA,NA,0,0,3,CN VN,bouy1240,pcc,Eurasia
28,bouy1240,pcc,Yay,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,taik1256,nort3189,Bouyei,False,language,safe,24.8484,106.187,pcc,NA,NA,0,0,3,CN VN,bouy1240,pcc,Eurasia
